0,blank,blank
1,12พลัสสเนลไวท์,12 Plus Snail whit
2,3เอ็มสก๊อตซ์ไบรต์,3M Scotch Brite
3,ก๊อปปี้แอนด์เลเซอร์,Copy & Laser
4,เอชพี,HP
5,เกีย,KIA
11,ก๊กเลี้ยง,Kok Liang
12,กระทิงแดง,Redbull
13,กรีนการ์เด้น,Green Garden
14,กังหัน,House
15,กัสเซ็น,Gussen
16,กาโตะ,Kato
17,กานิเย่,Garnier
19,การ์นิเย่ สกิน,Garnier Skin
20,การ์นิเย่ไลท์,Garnier Light
21,การ์นิเย่ไลท์คอมพลีท,Garnier Light Complete
22,กิเลนคู่,Double Kilin
23,กีวี,KIWI
24,กุ๊ก,Cook
25,กูลิโกะป๊อกกี้,Glico Pocky
26,กูลิโกะพีจอย,Glico Pejoy
27,กูลิโกะแอลฟี่,Glico alfie
28,เกรซ,Grace
29,เกลดเซนเต็ด,Glade scentd
30,เกษตร,Kaset
31,เกสร,Gaysorn
32,แกสบี้แว๊กซ์,Gatsby Wax
33,โก๋แก่,Koh-Kae
34,โกโก้ดัทช์,Cocoa Dutch
35,โกโก้ริช,Cocao Rich
36,โกปิโก้,Kopiko
38,ข้าวเบญจรงค์,Benjarong Rice
39,ข้าวแสนดี,Sandee rice
40,เขาช่อง,Khao Shong
41,เขาช่อง3in1,Khao Shong 3 in 1
43,เขาช่อง3in1ซุปเปอร์ริช,Khao Shong 3 in 1 Super rich
44,คนอร์,Knorr
45,คนอร์รสทิพ,Knorr Rostip
46,ครัววังทิพย์,KRUAWANGTHIP
47,คราฟท์,Kraft
48,คราฟท์ฟิลาเดลเฟีย,Kraft Philadelphia
49,คริสตัล,Crystal
50,คลีนแอนด์เคลียร์,Clean & Clear
51,คลีโอ,Cleo
52,ควอนตั้ม,Quantum
53,ควอลิตี้,Quality
54,คอนเน่,Cornae
55,คอนเน่ไพร์ม,CORNAE PRIME
56,คอปป,Copp
57,คอมฟอร์ท,Comfort
58,คอมฟอร์ทเพียว,Comfort Pure
59,คอมฟอร์ทลักชัวรี่,Comfort Luxury
60,คอมฟอร์ทลักชัวรี่เนเชอร์เอนชานท์,Comfort Luxury Nature Enchanted
61,คอมฟอร์ทอัลตร้า,Comfort Ultra
62,คอลเกต,Colgate
63,คอลเกตเฮอเบิ้ลซอลต์,Colgate Herbal Salt
64,คาชิวา,Kashiwa
65,คานิ,Kani
66,คานิแฟมมิลี่,Kani Family
67,คานิแฟมิลี่ซีเล็คชั่น,Kani Family Selection
68,คานิโอ,Kani-O
69,คาเฟ่เฮ้าส์,Kafe House
70,คายาริ,Kayari
71,คาร์เนชั่น,Carnation
72,คาราบาว,Carabao
73,คาราบาวแดง,Carabao Dang
74,คาโรไลน์,Caroline
75,คาสิโอ,CASIO
77,คิง,King
78,คิงส์สเตลล่า,Kingstella
79,คิทแคท,Kitkat
80,คิวบิซ,Q-BIZ
81,คิวพี,Kewpie
82,คูลพลัส,Kool Plus
83,เคลล็อกส์,kellogg's
84,เคลล็อกส์คอร์นเฟลกส์,Kellogg's Corn Flakes
85,เคลล็อกส์ฟรอสตี้,Kellogg's Frosties
86,เคลียร์,Clear
87,เควกเกอร์,Quaker
88,เคเอ,KA
91,แคมเบลล์,Campbell's
92,แคมปัส,Campus
93,แคร์,Care
95,แคริ่งคอนทัวร์,Caring Contour
96,แดรี่ฟาร์ม,Dairy Farm
98,โค้ก,Coca-Cola
99,โคโดโม,Kodomo
100,โคฟี่,Cofe
101,โคฟี่ทีเฟส,Cofe Teafes
102,โคอะลามาร์ช,Koala's March
103,ง่วนเชียง,Nguan Chiang
104,งูเซนลุกซ์,Snake Brand St. Luke’s
105,ตราจรวด,Rocket
106,จระเข้,Crocodile
107,จริงใจ,Jingjai
108,จอห์นสัน,Johnson's
109,จอห์นสันเบบี้บาธมิลค์,Johnson's baby bath milk
110,จับใจ,Jub Jai
111,จายา,Jaya
112,จินเจน,GinGen
113,จิฟ,Jif
114,จีพีแบตเตอรี่,GP Batteries
115,จีเอสพี,GSP
116,จีเอสบี,GSB
117,จูนิเปอร์,Juniper
119,ดับบลิวดี สี่สิบ,WD-40
120,เจดีย์คู่,Double Pagoda
121,เจพีเอ็ม,JPM
122,เจเล่บิวตี้,Jele beautie
123,เจอร์เก้นส์,Jergens
124,เจอร์ไฮ,JerHigh
125,แจ็กซ์,Jacks
126,ฉลากเงิน,Cha-Lark-Ngurn
127,ฉลามขาว,White Shark
130,ฉัตรอรุณ,Chataron
131,ฉั่วฮะเส็ง,Chua Ha Seng
132,ชบา,Chabaa
133,ชวาร์ฟคอร์ฟเฟรชไลท์,Schwarzkopf Fresh Light
134,ชวาร์สคอฟพาเลตต์,Schwarzkopf Palette
135,ชเวปส์,Schweppes
136,ช้าง,Chang
137,ช้างเวป,Chang Vape
138,ชาร์ป,Sharp
139,ชาวเกาะ,Chaokoh
140,ชาวนาไทย,Thai Farmer
141,เชนไดร้ท์,Chaindrite
142,เชนไดร้ท์1,Chaindrite1
143,เชสเดล,Chesdale
144,แชมเปี้ยน,Champion
145,โชกี้ โชกี้,Choki Choki
146,โชกุบุซึ,Shokubutsu
147,ซอฟเฟล,Soffel
148,ซอลส์,Salz
149,ซอลส์เฟรช,Salz Fresh
150,ซีเอสซี,CSC
151,ซันซิล,Sunsilk
152,ซันเด้นอินเตอร์คูล,Sanden Intercool
153,ซันนี่,Sunny
154,ซันเบลส,Sun Bless
155,ซันไลต์,Sunlight
157,ซันสแนค,Sunsnack
159,ซันสแนคแซ่บ,Sunsnack Saab
160,ซัมซุง,Samsung
161,ซากุระ,Sakura
164,ซานเบเนเดตโต,San Benedetto
165,ซาลิมิ,Salimi
166,ซิตร้า,Citra
167,ซิตร้าเบอรรี่ไวท์,Citra Berry White
168,ซิตร้าเพิร์ลลี่ไวท์ยูวีนูทริ-เซรั่ม,Citra Pearly White UV Nutri-Serum
169,ซิลค์คอตตอน,Zilk kotton
170,ซิลค์จัมโบ้,Zilk Jumbo
171,ซีกัล,Seagull
172,ซีคราวน์,SEA CROWN
173,ซีซาร์,Cesar
174,ซีพี,CP
175,ซีมอน,Semon
176,ซีเล็ค,Sealect
178,ซุปเปอร์ซีเรียล,Super Cereal
179,ซุเปอร์เซฟ,Superchef
180,ซูกัส,Sugus
181,ซูเปอร์เซฟ,SuperChef
183,เซ็นโซดายน์มัลติแคร์,Sensodyne Multi Care
184,เซนด์แอนดรูว์,ST. ANDREWS
185,เซ็ปเป้บิวติดริ้งค์,Sapp? Beauti Drink
186,เซ็ปเป้อโลเวร่าดริ้งค์,Sapp? Aloe Vera Drink
187,เซพแพ็ค,Savepak
188,เซลล็อกซ์,Cellox
189,เซเว่นอัพ,7-Up
190,เซอร์เทนตี้,Certainty
191,เซอร์เทนตี้,Certainty Super Pants
192,เซอร์เทนตี้เดย์แพ้นส์,Certainty DayPants
193,เซียงไฮ,Sanghai
194,แซม-บัค,Zam-Buk
195,โซฟี,Sofy
196,โซฟีคอมแพคสลิม,Sofy Compact Slim
197,โซฟีแอร์ฟิตคูลลิ่งเฟรช,Sofy Air Fit Cooling Fresh
198,โซฟีแอร์ฟิตคูลลิ่งเฟรชซูเปอร์แอ็กทิฟสลิม,Sofy AirFit Cooling Fresh Super Active Slim
199,โซฟีแอร์ฟิตซูเปอร์แอ็กทิฟสลิม,Sofy AirFit Super Active Slim
200,โซเล่คาเฟ่,Sole caf?
201,โซเล่คาเฟ่แบล็ค,Sole Caf? Black
202,ไซออสรีแพร์โททอลรีนิว,Syoss Repair Total Renew
203,ดร.มนตรี,Dr. Montri
204,ดราก้อนทังค์,Dragon tongue
205,ดอกบัว,Dorkbua
206,ดอกบัวคู่,Dok Bua Ku/Twin Lotus
207,ดอกบัวคู่,Twin Lotus
208,ดอยคำ,DOI KHAM
209,ดัชชี่,Dutchie
210,ดัชมิลค์,Dutchmill
211,ดัชมิลล์4อิน1,Dutch Mill 4in1
212,ดัชมิลล์คิดส์,Dutch Mill Kids
213,ดัชมิลล์ซีเล็คเต็ด,Dutch Mill Selected
214,ดับเบิ้ลเอ,Double A
215,ดาต้า,Data
216,ดาร์ลี่,Darlie
217,ดาร์ลี่เกลือถ่านชาร์โคลไวท์เทนนิ่ง,Darlie Salt Charcoal Whitening
218,ดาร์ลี่เกลือเฟรช,Darlie Salt Fresh
219,ดาร์ลี่ดับเบิ้ลแอคชั่น,Darlie Double Action
221,ดาร์ลี่ออลล์ชายนี่ไวท์เลมอนมินต์,Darlie All Shiny White Lemon Mint
222,ดาวน์นี่,Downy
