1,7,Households Product,เครื่องใช้ในครัว
1,8,Washing & Cleaning,อุปกรณ์ทำความสะอาด
1,9,Laundry,ผลิตภัณฑ์ทำความสะอาดผ้า
1,10,Home Frangnance,ผลิตภัณฑ์ดับกลิ่นและปกป้องภายในบ้าน
1,11,Tissue & Papers,กระดาษชำระ
1,12,Cleaning,ผลิตภัณฑ์ทำความสะอาด
1,13,Bedding,เครื่องนอนและสินค้าอื่นๆ
1,14,Furniture / Storage,เฟอร์นิเจอร์และเครื่องใช้ภายในบ้าน
1,15,Home Improvements,อุปกรณ์ซ่อมแซมบ้าน
2,16,Major Appliance,เครื่องใช้ไฟฟ้าขนาดใหญ่
2,17,Cooking Appliances,เครื่องใช้ไฟฟ้าในครัว
2,18,Small Appliances,เครื่องใช้ไฟฟ้าขนาดเล็ก
2,19,Mobile / Tablets,โทรศัพท์มือถือ / แท้บเล็ต
2,20,T.V. / Audio,ทีวีและเครื่องเสียง
3,21,Water,น้ำดื่ม
3,22,Fruit / Veggie Juice,น้ำผักและผลไม้
3,23,Milk,นม
3,24,Coffee & Cream,กาแฟ / ครีมเทียม
3,25,Tea,ชา
3,26,Soft Drink,น้ำอัดลมและอื่นๆ
3,27,Health Supplement,เครื่องดื่มเพื่อสุขภาพ
3,28,Power drink,เครื่องดื่มชูกำลัง
4,29,Snack,ขนมขบเคี้ยว
4,30,Chocolate & Sweet,ขนมและช้อคโกแลต
4,31,Cookies & Biscuits,คุกกี้และขนมปังกรอบ
5,32,Paper & Folder,กระดาษและแฟ้ม
5,33,Office Accessories,อุปกรณ์สำนักงาน
5,34,Office Furniture,เฟอร์นิเจอร์สำนักงาน
5,35,Writing Utensils,อุปกรณ์การเขียนและแก้ไข
6,36,Rice / Organics Herb / Dry Fruits,ข้าว / สมุนไพร / ผลไม้อบแห้ง
6,37,Cooking Ingredients,ส่วนผสมในการปรุงอาหาร
6,38,Oil,น้ำมันพืช
6,39,Canned Food,อาหารกระป๋อง
6,40,Instant noodle / Soup / Porridge,บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป
6,41,Pasta / Noodle,เส้นทำจากแป้งกึ่งสำเร็จรูป
6,42,Cereal / Salad Cream,อาหารเช้า ผลิตภัณฑ์ทาขนมปัง-สลัด
6,43,Home Baking & Sugar,ส่วนผสมทำขนมและสารให้ความหวาน
